order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD186940,ID1462398856,2019-07-18,Bakers,"[('Universe Note', 1), ('Olivia x460', 2), ('pearTV', 1), ('Candle Inferno', 1)]",12640,71.41,-37.8200618,145.0132237,5,12079.41,Winter,False,1.9388,good! good!,False
ORD394765,ID2189143649,2019-05-20,Thompson,"[('iStream', 2), ('iAssist Line', 1)]",2525,64.43,-37.8096789,144.95536769999995,25,1958.18,Autumn,True,0.8023,two stars battery life is too short and no place for sd card. it;s just not enough memory for me.,True
ORD342223,ID6282174139,2019-06-15,Nickolson,"[('Universe Note', 2), ('Thunder line', 1)]",9080,65.87,-37.8233497,144.97654540000005,25,6875.87,Winter,False,0.8114,five stars works perfectly,True
ORD120572,ID6167236637,2019-04-24,Thompson,"[('Alcon 10', 1), ('Toshika 750', 1), ('iStream', 1)]",13420,80.16,-37.81434,144.9546842,25,10145.16,Autumn,False,0.6949,five stars just perfect (even if att aps are unuseful in france),True
ORD431408,ID0579384316,2019-11-04,Thompson,"[('iAssist Line', 2), ('Alcon 10', 1), ('iStream', 2), ('Toshika 750', 1)]",19830,66.79,-37.8252475,144.94479740000003,10,16284.79,Spring,False,1.4139,the battery life is real bad the phones that cost less then this the battery ... for the price buy a different phone. the one sent to mne feels used and it was.suppose to be a new phone. it is slow. the battery life is real bad the phones that cost less then this the battery lasts way longer. will find out if it lasts.,False
ORD021880,ID0641026085,2019-01-23,thompson,"[('Lucent 330S', 1), ('iAssist Line', 1)]",3455,97.34,-37.8091174,144.9368711,5,3379.59,Summer,True,0.9803,great on time it is work fine,True
ORD140568,ID0257505385,2019-05-30,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Alcon 10', 2)]",21305,72.54,-37.7991533,144.96268419999996,5,20312.29,Autumn,False,2.0374,camera is very good the camera is really good,True
ORD105435,ID0589398318,2019-07-08,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 1)]",2090,63.0,-37.81263720000001,144.9740845,15,1839.5,Winter,False,1.2753,great phone still works great 2 yrs after great phone still works great 2 yrs after. has everything you need from a none smartphone. i forgot how much i love flipphones,True
ORD427999,ID4754200381,2019-04-22,Thompson,"[('iStream', 1), ('Universe Note', 1), ('pearTV', 1), ('Candle Inferno', 1)]",10340,82.34,-37.8152448,144.9276603,25,7837.34,Autumn,False,1.7307,"high end on low budget wow this phone is quite impressive for the money. everything about this phones seems to be on the high end of things. great screens, high quality camera, and overall a vibrant and luxury feeling.",True
ORD498885,ID1479928086,2019-06-26,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 1)]",18330,79.03,-37.8208956,144.9560135,5,17492.53,Winter,True,1.2068,None,True
