order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD469445,ID1492145855,2019-02-28,Thompson,"[('Toshika 750', 2), ('Alcon 10', 2)]",26540.0,89.21,-37.8131761,144.9513395,15,22648.21,Summer,True,0.3797,great it's nice,1.0
ORD243565,ID1463620800,2019-05-31,Bakers,"[('Lucent 330S', 1), ('iStream', 1)]",1380.0,81.23,-37.8187094,145.0007791,0,1461.23,Autumn,True,1.0857,"i bought this for my son for christmas. he loves it. he can use it to access the web. this item is great for kids, it is education. you canaccess over 13,000 books on digico. it has helped my son with his reading.",1.0
ORD428500,ID0579383948,2019-02-03,Bakers,"[('Lucent 330S', 1), ('pearTV', 1), ('Universe Note', 1), ('iAssist Line', 1)]",13215.0,77.45,-37.7997507,144.9943718,5,12631.7,Summer,False,1.143,"this is the one bought as gift. because of the great price, i did not expect what this phone is. this phone rivals the latest s10. i know because i own one. so this one doesn't have a fingerprint sensor. big deal when it matches up perfectly to my s10 at one quarter the price!",1.0
ORD185101,ID1560149467,2019-10-19,Thompson,"[('Universe Note', 2), ('Olivia x460', 1), ('Thunder line', 1), ('Alcon 10', 1)]",19255.0,86.69,-37.8163952,144.9381699,0,19341.69,Spring,True,0.8855,not unlocked at all.. scratches on the screen as well the title says unlocked however when i turned on the phone it said verizon and my sim card is incompatible. there was also some scratches on the screen as well as the back. overall i was extremely disappointed with this product. will be returning,0.0
ORD275868,ID0373655802,2019-03-04,Thompson,"[('iAssist Line', 1), ('Universe Note', 1), ('Thunder line', 2), ('iStream', 1)]",10185.0,84.12,-37.812655,144.92524369999995,5,9759.87,Autumn,True,1.9194,unbox therapy was right again love my phone,1.0
ORD376841,ID2810326445,2019-09-05,Nickolson,"[('iStream', 2), ('Universe Note', 2)]",7200.0,105.67,-37.8069623,144.97564119999996,25,5505.67,Spring,True,1.4013,excellent phone. i like every thing about the phone.,1.0
ORD031891,ID2177124600,2019-07-28,Thompson,"[('Alcon 10', 2), ('Toshika 750', 1), ('pearTV', 2), ('iStream', 2)]",35140.0,75.08,-37.816024,144.9567376,25,26430.08,Winter,True,0.9285,i love it! this phone is the absolute bomb!! i love it!! thank you!!!,1.0
ORD380849,ID0493051265,2019-01-31,Bakers,"[('iStream', 2), ('Toshika 750', 1)]",4620.0,91.49,-37.8051976,144.9944969,10,4249.49,Summer,True,0.5381,verizon prepaid yes this phone doeswork on verizon prepaid contrary to many reviews i have read. just pop in your sim into slot one. universe a50,1.0
ORD295861,ID0571731485,2019-12-10,Thompson,"[('pearTV', 2), ('iAssist Line', 2)]",17070.0,99.33,-37.8244809,144.94534860000005,15,14608.83,Summer,True,1.3231,"i love xp lumia 920 !!!!!! i had used alcon 3gs for more than 5 years. i siwtched to lumia 920. i start loving this toy , lumia 920. specially, i like the design , and it gives me good feeling when i was holding. overall, i like it. no battery issue yet, it has wireless charging plate also.",1.0
ORD473783,ID6167285772,2019-04-19,Nickolson,"[('Universe Note', 2), ('iAssist Line', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",26715.0,81.33,-37.8102069,144.9613311,5,25460.58,Autumn,True,1.1808,"works perfect. got it for my mother. she uses it for facebook, texts and calls. she is happy with it.",1.0
