order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD252888,ID3208518271,2019-04-02,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 2), ('Toshika 750', 1)]",9995,84.08,-37.8004531,144.97149330000005,5,9579.33,Autumn,True,2.0267,love this phone!!!!!!! i love this phone. i am so happy i purchased this phone. i use trac phone and it works great with it!,True
ORD071387,ID0579475339,2019-06-27,Thompson,"[('iStream', 1), ('iAssist Line', 2), ('Olivia x460', 2), ('Lucent 330S', 1)]",8280,77.67,-37.8200701,144.952914,25,6287.67,Winter,True,0.9707,used i phone great value,True
ORD499008,ID0579503422,2019-07-11,Thompson,"[('Candle Inferno', 1), ('Olivia x460', 1)]",1655,46.77,-37.8138099,144.9497383,25,1288.02,Winter,False,0.2667,is not unlocked... el teléfono está en buena condición pero no está desbloqueado por el hthunder de que no lee la tarjeta sim de metropcs ni t-mobile,False
ORD374735,ID1725216465,2019-07-24,Thompson,"[('Universe Note', 2), ('Alcon 10', 1), ('Lucent 330S', 1)]",17080,71.88,-37.8022824,144.96222350000005,0,17151.88,Winter,False,1.7647,great phone this is a beautiful phone great battery life... for the price i love it... thanking the seller for adding a usa adapter charger,True
ORD208860,ID0060653731,2019-05-23,Thompson,"[('iStream', 2), ('Toshika 750', 2)]",8940,64.55,-37.8145317,144.9382023,0,9004.55,Autumn,False,0.8067,"useless. great phone for the purpose this phone isn't supported by verizon so i had to get it activated thru t-mobile. the sim card is, however, useless. great phone for the purpose.",True
ORD164941,ID5797758261,2019-05-27,Thompson,"[('iStream', 2), ('Toshika 750', 1), ('Thunder line', 1), ('Candle Inferno', 1)]",7230,78.59,-37.8069877,144.94523869999998,0,7308.59,Autumn,True,0.653,"works well, no issues haven't had any issues, works well",True
ORD458955,ID0233315030,2019-10-05,Bakers,"[('Thunder line', 2), ('iStream', 1)]",4510,108.96,-37.8022115,144.9767201,25,3491.46,Spring,True,1.8444,working great so far. son has been using this for 5 months and no problems. thank you.,True
ORD392122,ID0309346900,2019-02-22,Bakers,"[('Universe Note', 2), ('iAssist Line', 1)]",9125,73.71,-37.8134029,145.00250659999998,10,8286.21,Summer,False,0.7437,"it's okay being a xp it had all the specs that i was expecting, however being a t-mobile customer i had repeated problems and still do with receiving mms texts. all else works fine.",True
ORD489107,ID2299087305,2019-02-06,Bakers,"[('Olivia x460', 2), ('Universe Note', 2)]",9350,115.365,-37.8080464,144.98496799999995,15,8062.865,Summer,True,0.9284,too hot worst purchase i have ever made. the phone will heat up in a instant. i just don't mean warm. i mean burning hot. enough so you will drop it. please skip this one.,False
ORD377534,ID0655124619,2019-09-20,Thompson,"[('Universe Note', 2), ('pearTV', 2), ('Alcon 10', 1)]",28470,101.36,-37.8064433,144.941667,5,27147.86,Spring,True,0.8406,"satisfied. big screen, good battery life, good performance, excellent connectivity, android not cluttered with too much useless software. the only con is the lack of nfc. this is not a big deal to me right now, but it could be as digital payment systems become for common.",True
ORD259592,ID2288769496,2019-06-26,Bakers,"[('iStream', 2), ('Candle Inferno', 1)]",730,78.91499999999999,-37.8014853,145.00364219999997,15,699.415,Winter,False,1.202,touch screen broken i was so excited to get this phone. i received it and screen doesn't work. i can turn it on but unable to get startup done due to screen not reacting to touch. my current phone is broken so this is highly inconvenient. now going 3 days without a phone. do not buy from them.,False
ORD254300,ID2279153650,2019-04-23,Nickolson,"[('Alcon 10', 1), ('Lucent 330S', 2), ('iStream', 1)]",11560,79.06,-37.8124295,144.9742773,10,10483.06,Autumn,True,0.8024,"great phone great phone! battery life is solid, and the phone is very durable. i don't use a case, have dropped it on concrete several times, no cracks or any issues other than a few scratches on the edge. lucentrola makes great phones, and this is no exception.",True
ORD087006,ID0306968245,2019-01-27,Thompson,"[('Universe Note', 2), ('pearTV', 1), ('iAssist Line', 2)]",17660,79.24,-37.8173564,144.9317596,15,15090.24,Summer,False,1.4437,great phone and amazing value!!! love all the lucent g phones. reliable. unlocked for most carriers. excellent screens. we got three. upgraded from lucent g5.,True
ORD221346,ID6167191705,2019-09-04,Thompson,"[('iStream', 2), ('Lucent 330S', 1), ('Thunder line', 2)]",5890,79.08,-37.8186174,144.9553188,5,5674.58,Spring,False,0.9819,awesome beautiful arrived brand new ... a lot of updates runs beautiful recommend buying this,True
ORD263993,ID0847531461,2019-09-07,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2)]",2890,73.55,-37.8207156,144.96950569999996,25,2241.05,Spring,False,0.2361,"price i like the size, easier for me to text.",True
ORD474293,ID0317535749,2019-07-24,Nickolson,"[('Alcon 10', 2), ('Toshika 750', 1)]",22220,80.69,-37.8056711,144.9635518,5,21189.69,Winter,True,1.5323,the table offer made the deal loved it,True
ORD096481,ID2190483585,2019-04-21,Thompson,"[('Thunder line', 2), ('Alcon 10', 1), ('Universe Note', 1), ('Toshika 750', 1)]",21080,66.71,-37.8080765,144.96041200000005,25,15876.71,Autumn,False,1.2802,"clear sound, great alarm clock, plays my music.  what else can you ask for.  oh yeah, you can order what you need.",True
ORD252753,ID0233262526,2019-01-27,Bakers,"[('Alcon 10', 1), ('iAssist Line', 1), ('pearTV', 2), ('Olivia x460', 1)]",25020,98.95,-37.8027967,144.98361440000005,10,22616.95,Summer,True,1.2986,"what can i say, i love it! this phone is awesome. woke right up witn an existing activated verizon sim card.",True
ORD474028,ID2189269632,2019-12-25,Nickolson,"[('pearTV', 2), ('Lucent 330S', 1)]",13850,71.59,-37.820933,144.9614707,15,11844.09,Summer,False,0.7567,"so far so good i've only had the phone a short time, but so far everything has been fabulous! ask me in 3 years and i'll tell you how it is then.",True
ORD285780,ID0227324345,2019-11-16,Bakers,"[('iStream', 2), ('Toshika 750', 2)]",8940,79.7,-37.8005249,144.9908738,5,8572.7,Spring,False,1.1218,great phone for the price debated getting the more expensive universe s10 but with the amazing price and almost same features couldn't justify spending more. i have recommended it to family and friends.,True
ORD439245,ID2151742998,2019-01-18,Thompson,"[('Thunder line', 2), ('iStream', 1)]",4510,103.02,-37.82221610000001,144.93129309999995,25,3485.52,Summer,True,1.7473,would have been been 5 this was bought as a new in the box and it was new. they did not disclose that the manual was not in the box. the phone works great,True
ORD443447,ID6207152061,2019-09-24,Nickolson,"[('iAssist Line', 2), ('Olivia x460', 1), ('Alcon 10', 1), ('iStream', 1)]",14775,81.02,-37.8080399,144.97432519999995,15,12639.77,Spring,False,1.2477,four stars had to buy a new battery but after that the phone worked fine,True
ORD440119,ID2181275340,2019-07-05,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 1)]",3455,52.22,-37.80882310000001,144.9662083,15,2988.97,Winter,False,1.1268,doesnt work right trying to get an excange. but people taking a long time to reply,False
ORD046863,ID0591275456,2019-09-03,Nickolson,"[('pearTV', 1), ('Olivia x460', 2), ('Toshika 750', 1), ('Universe Note', 1)]",16530,63.38,-37.8238589,144.956348,5,15766.88,Spring,False,1.3005,waste of money right out of package phone doesn't even want to charge because the battery pack is loose. don't waste your money.,False
ORD172308,ID0575397935,2019-05-21,Nickolson,"[('Toshika 750', 1), ('Thunder line', 1), ('Lucent 330S', 2)]",8960,40.785,-37.8212343,144.98373769999995,25,6760.785,Autumn,True,1.2816,i like it i like it pretty good so far!,True
ORD413980,ID4733727876,2019-11-28,Thompson,"[('Olivia x460', 2), ('Alcon 10', 2), ('Thunder line', 1)]",22530,88.75,-37.8044436,144.9492177,0,22618.75,Spring,True,0.9354,"only good thing is the ui the phone runs very poorly. it takes forever to start up, hangs up constantly. even google maps won't load half the time. i know this is a budget phone but it should be able to run basic apps properly. only good thing is the ui. it almost stock android however it pointless since the phone runs so badly.",False
ORD274868,ID1560149567,2019-04-15,Thompson,"[('Universe Note', 1), ('Thunder line', 2)]",7810,64.74,-37.8159139,144.9381486,10,7093.74,Autumn,False,0.8634,"lo amo ❤ simplemente es perfecto, llegó super bien empaquetado, en perfecto estado y estoy super enamorada de este teléfono ❤️ lo recomiendo al máximo!!!",True
ORD360806,ID0579382918,2019-07-14,Thompson,"[('Universe Note', 1), ('pearTV', 2)]",16070,68.05,-37.8245991,144.9430126,0,16138.05,Winter,True,1.3746,one star the phone was blocked,False
ORD231853,ID0247532606,2019-05-26,Thompson,"[('Lucent 330S', 1), ('Universe Note', 2), ('Toshika 750', 2), ('Olivia x460', 2)]",19220,79.1,-37.8179326,144.95112519999995,10,17377.1,Autumn,True,0.6856,great phone super camera great phone i bought it unlocked i had hoped to use my same at&t carrier it did not work with them no matter what switched and bundled to comcast saved a car load of money excellent phone,True
ORD064848,ID0428635865,2019-04-26,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 2), ('Thunder line', 2), ('Olivia x460', 1)]",11265,51.22,-37.813295200000006,144.97810890000005,0,11316.22,Autumn,False,0.9563,"low quality my phone is barely a month old and the screen is already broken on it, screen is not original quality. my last note last over a year and a half, this screen broke in barely a month..",False
ORD291165,ID0227324643,2019-08-06,Bakers,"[('pearTV', 1), ('Alcon 10', 1)]",15260,67.29,-37.800594,144.9915664,15,13038.29,Winter,False,1.0951,this is an awesome tablet perfectly for watch tv for my little nephew,True
ORD200908,ID1985557913,2019-10-23,Nickolson,"[('Thunder line', 1), ('iStream', 1), ('Candle Inferno', 2), ('Toshika 750', 1)]",7510,99.51,-37.81118770000001,144.9674548,0,7609.51,Spring,True,0.8449,"awesome! i have no complaints. the phone is beautiful and does everything that i need it to do. the size, high tech features, and design are all pluses.",True
ORD057668,ID2086399986,2019-12-21,Bakers,"[('iStream', 2), ('Olivia x460', 2), ('Thunder line', 2), ('pearTV', 1)]",13420,84.09,-37.80043670000001,144.98402,25,10149.09,Summer,True,1.4508,👎 👎,False
ORD020581,ID0581764394,2019-06-13,Thompson,"[('Thunder line', 2), ('pearTV', 2)]",16980,53.06,-37.80477020000001,144.9324692,25,12788.06,Winter,False,1.5565,phone was received broken people we called said they had a hard tome hearing and the volume went up and down. had the phone diagnosed by pear store and they said the microphone was bad. will be sending this phone back.,False
ORD031400,ID1998397487,2019-10-30,Thompson,"[('Lucent 330S', 2), ('Toshika 750', 2)]",11100,67.56,-37.800479,144.95883590000003,5,10612.56,Spring,False,1.7069,not accurate description of product does not support nano sim cards. i need to find a micro sd adapter or go to provider to switch dom cards now. will update review later after i figure this out.,False
ORD066276,ID0206204623,2019-10-22,Thompson,"[('pearTV', 1), ('Universe Note', 1), ('iAssist Line', 1), ('Candle Inferno', 1)]",12415,108.04,-37.818102,144.9317802,10,11281.54,Spring,True,1.4741,ok yes,True
ORD343995,ID0370750748,2019-08-24,Bakers,"[('Candle Inferno', 2), ('iStream', 1), ('iAssist Line', 2)]",5460,75.6,-37.812085,144.9884869,5,5262.6,Winter,True,0.6371,"five stars good phone, better then the alcon 5c i had !",True
ORD146011,ID0638044335,2019-12-09,Thompson,"[('iAssist Line', 2), ('iStream', 2)]",4750,99.2,-37.8133487,144.9312518,5,4611.7,Summer,True,1.393,"works okay as a tablet and especially to access digico.no good as a general tablet as there are no google apps available, such as chrome, gmail, etc.",True
ORD009949,ID0579502235,2019-02-18,Thompson,"[('iAssist Line', 1), ('Lucent 330S', 1), ('Olivia x460', 2)]",5905,88.86,-37.8148461,144.9506248,10,5403.36,Summer,True,0.3953,five stars great little phone......!,True
ORD393780,ID0282825799,2019-06-03,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 1)]",2455,51.05,-37.8014154,144.948467,5,2383.3,Winter,False,1.2592,one star products not representative of advertisements,False
ORD122885,ID1449431580,2019-10-07,Nickolson,"[('Thunder line', 1), ('iStream', 2), ('Lucent 330S', 1)]",3710,98.61,-37.8148623,144.97459080000004,15,3252.11,Spring,True,0.6075,worth the price new phone for new carrier.,True
ORD323814,ID0506050894,2019-09-09,Thompson,"[('Universe Note', 2), ('iAssist Line', 2)]",11350,56.81,-37.8138999,144.944226,10,10271.81,Spring,False,0.2849,one star my phone had a few issues but i kept it still,False
ORD219702,ID0778942527,2019-10-23,Bakers,"[('Universe Note', 1), ('Toshika 750', 1), ('Lucent 330S', 2)]",10230,95.06,-37.8157743,145.0135759,5,9813.56,Spring,True,1.7367,"beware i had a sim card which i used, but it was not recognized, kept on saying ""no sim card installed"", and i installed it properly. cheap plastic phone, not like the old classic xps. not recommended",False
ORD488708,ID6167417899,2019-08-05,Thompson,"[('pearTV', 2), ('iStream', 1), ('Toshika 750', 1)]",17090,64.84,-37.8172141,144.95331069999997,15,14591.34,Winter,False,0.7462,three stars just ok!,True
ORD379532,ID0777753006,2019-10-23,Thompson,"[('iStream', 2), ('Toshika 750', 2)]",8940,102.54,-37.8059794,144.9557488,10,8148.54,Spring,True,1.0668,nicer then i thought product arrived on-time and exactly as described,True
ORD468345,ID0043251976,2019-01-12,Thompson,"[('Olivia x460', 1), ('Universe Note', 1)]",4675,58.64,-37.8049802,144.9482313,5,4499.89,Summer,False,0.8624,"unreliable there's nothing fancy to this phone. it's the most basic 90's phone you can get. which is what i needed for my mom. it never got the clearest signal, and would make loud screeching noises from time to time during a conversation. it broke on the second week of using it. the screen went black and there was no way to fix it.",False
ORD219465,ID3115762667,2019-02-24,Thompson,"[('iAssist Line', 2), ('Alcon 10', 2)]",22350,63.59,-37.805473600000006,144.95798,25,16826.09,Summer,False,1.2503,i don't like it. it not working . i don't like it .,False
ORD172130,ID0634783440,2019-07-22,Thompson,"[('Toshika 750', 2), ('Olivia x460', 2), ('Thunder line', 2), ('Universe Note', 1)]",18900,63.57,-37.8127253,144.9383965,5,18018.57,Winter,False,0.7627,five stars best olivia universe smartphone the eclipse 2017 is awesome good job olivia!!!,True
ORD031826,ID0711783633,2019-12-26,Thompson,"[('pearTV', 2), ('Universe Note', 2)]",19520,89.98,-37.81644470000001,144.9458051,25,14729.98,Summer,True,0.4343,great product good quality,True
ORD077049,ID4884445035,2019-01-29,Thompson,"[('pearTV', 2), ('Lucent 330S', 1), ('iAssist Line', 1)]",16075,103.14,-37.8009434,144.93465619999995,15,13766.89,Summer,True,1.702,works well works well without any problem. it is more easy to use with high quality.,True
ORD382070,ID1879021199,2019-12-08,Nickolson,"[('Olivia x460', 2), ('Alcon 10', 2)]",20350,80.85,-37.810955,144.97853830000003,15,17378.35,Summer,True,1.161,pierde la conexión y se bloquea llevo poco más de 2 meses con el teléfono y me pierde la conexión y lo tengo q reiniciar para q vuelva a coger la conexión y la batería tampoco dura lo q se supone debe durar.en conclusión no se lo recomiendo a nadie.,False
ORD349042,ID4893628996,2019-02-16,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Thunder line', 1)]",12940,101.62,-37.8110356,144.9290744,5,12394.62,Summer,True,1.593,"lumia 635 review. great phone for the money. not the newest phone on the market, but if you don't need all the latest bells and whistles this phone will suffice.",True
ORD437275,ID0634783912,2019-11-16,Thompson,"[('pearTV', 2), ('Olivia x460', 1), ('Candle Inferno', 1)]",14275,102.92,-37.8135819,144.93714350000005,5,13664.17,Spring,True,0.8787,"i love this tablet because of its user friendly interface. it reminds me of a starter tablet for kids, without being too much of a dull product.",True
ORD389437,ID0576873444,2019-08-08,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 1), ('Thunder line', 2)]",10040,81.88,-37.82431029999999,144.9900156,15,8615.88,Winter,True,1.6581,"this tablet is hands down the best investment i've ever made. i used to carry a laptop to meetings, then my kids talked me into getting a tablet and what a difference. as long as there is wifi it does everything my laptop will.",True
ORD290913,ID0361227898,2019-06-10,Bakers,"[('pearTV', 2), ('Lucent 330S', 1)]",13850,82.69,-37.8018159,144.9763155,5,13240.19,Winter,True,1.8966,"my mother, husband, and daughter all enjoy using inferno. it's a great way to stay preoccupied.",True
ORD457393,ID0250933656,2019-08-21,Bakers,"[('iStream', 1), ('Universe Note', 2), ('pearTV', 1)]",13360,66.86,-37.8252603,145.0004236,5,12758.86,Winter,True,1.7594,boot loop / bricked just from updating the phone the first day it came in smfh i updated to the latest firmware which was the last update and it boot looped my phone yes there is ways of fixing this on my computer but really wtf i didn’t pay my money to get a boot loop phone.,False
ORD049051,ID0702363967,2019-06-06,Thompson,"[('Candle Inferno', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",5500,66.94,-37.80517920000001,144.940973,5,5291.94,Winter,False,0.9916,i love to read and this tablet makes it so easy to carry an entire library with me everywhere. i have also become addicted to the free underground games.,True
ORD441873,ID5058108349,2019-10-14,Nickolson,"[('Lucent 330S', 2), ('iAssist Line', 2), ('Universe Note', 1)]",10360,85.77,-37.8230646,144.968504,0,10445.77,Spring,True,0.506,"phone is not unlocked i need partial refund for that ... phone is not unlocked i need partial refund for that i have purchased this phone thinking it was unlocked, false advertising.",False
ORD395400,ID6167254915,2019-12-02,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 2)]",5910,87.5,-37.8181408,144.9651122,5,5702.0,Summer,True,0.3936,the phone is nice. but i should have just got the note ... the phone is nice. but i should have just got the note 4.,True
ORD209739,ID0664380095,2019-01-13,Nickolson,"[('Thunder line', 1), ('iAssist Line', 1), ('Alcon 10', 2), ('iStream', 1)]",22455,69.93,-37.8210302,144.9671486,10,20279.43,Summer,False,0.3437,five stars like ever good,True
ORD278099,ID4735688188,2019-09-14,Thompson,"[('Olivia x460', 1), ('Toshika 750', 1), ('Universe Note', 1), ('pearTV', 2)]",21615,78.72,-37.8034206,144.9491175,0,21693.72,Spring,False,1.0456,"love it takes much better photos than my lucent g4 which it replaces... because the g4 went random on me and even a factory reset didn't help. the logic of operation is also more intuitive to a long-time pc user, and it is fast fast fast. and the battery lasts forever. very reliable and easy to use.",True
ORD191627,ID0174815317,2019-10-09,Nickolson,"[('pearTV', 2), ('iStream', 1)]",12770,73.49,-37.8148227,144.9649463,5,12204.99,Spring,False,0.5834,"i love the sound quality of this unit, it is a very clear sound.",True
ORD458178,ID0331163565,2019-11-14,Nickolson,"[('Lucent 330S', 1), ('pearTV', 1)]",7540,110.55,-37.7999599,144.968097,15,6519.55,Spring,True,2.0783,"i give it 4 stars because i love the phone but it was nowhere close to 16gb ... i give it 4 stars because i love the phone but it was nowhere close to 16gb internal storage. sd card is needed, it was only 10gb",True
ORD456318,ID6167413283,2019-05-14,Thompson,"[('Universe Note', 2), ('Thunder line', 1), ('Candle Inferno', 2)]",9940,80.42,-37.81633239999999,144.9563363,10,9026.42,Autumn,True,0.9111,five stars very nice phone,True
ORD098903,ID5797758274,2019-07-04,Thompson,"[('Thunder line', 1), ('iAssist Line', 2), ('Lucent 330S', 1)]",7860,60.95,-37.8068766,144.9449831,0,7920.95,Winter,True,0.6708,"this phone breaks to easily, this is my second same phone in less ... this phone breaks to easily, this is my second same phone in less than a year that both dropped on a carpet and broke at the same place of screen breakeage. even with so call screen protector it still crack the screen. personally i do believe their is a defects in manufacturing.",False
ORD416358,ID0705744124,2019-03-27,Bakers,"[('Thunder line', 2), ('Alcon 10', 2), ('Candle Inferno', 2), ('Universe Note', 1)]",26570,79.26,-37.8109049,145.00410630000005,10,23992.26,Autumn,True,0.787,very good condition and i am happy great,True
ORD321684,ID2457712050,2019-02-19,Bakers,"[('Lucent 330S', 1), ('Toshika 750', 1), ('Candle Inferno', 2)]",6410,87.02,-37.8049791,144.97746709999996,15,5535.52,Summer,True,1.6592,nope didnt work for us. battery kept heating up too high. returned.,False
ORD243607,ID0030385741,2019-06-16,Bakers,"[('Toshika 750', 2), ('Candle Inferno', 2), ('Olivia x460', 2), ('Universe Note', 1)]",15400,83.12,-37.8261732,145.002466,10,13943.12,Winter,True,1.9098,the candle inferno hd is a sweet tablet for reading and apps like istream or hulu.,True
ORD343981,ID0457365625,2019-10-18,Nickolson,"[('Universe Note', 2), ('Alcon 10', 1), ('pearTV', 1), ('iAssist Line', 2)]",26610,96.86,-37.8199364,144.9717874,25,20054.36,Spring,True,0.2469,"five stars awesome phone, bought a second phone too for my girlfriend, again sweet phone, couldn't be happier :)",True
ORD230331,ID6202471425,2019-09-04,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Alcon 10', 1), ('iStream', 1)]",12420,78.34,-37.8233446,144.98147790000004,10,11256.34,Spring,False,1.1745,great buy i'm in love with this phone. great battery,True
ORD499501,ID0140980441,2019-02-06,Nickolson,"[('Olivia x460', 1), ('pearTV', 2)]",13845,70.57,-37.7992877,144.9723465,25,10454.32,Summer,False,2.1632,broken in under a year i didn't even have the phone a year and the charging port broke.,False
ORD450362,ID0846566632,2019-11-12,Nickolson,"[('Alcon 10', 2), ('Toshika 750', 2)]",26540,100.29,-37.8234235,144.970257,0,26640.29,Spring,True,0.5411,love the features and response solid phone. love the features and response. my only negative is the absence of a memory card.,True
ORD490016,ID4451156236,2019-11-20,Nickolson,"[('Toshika 750', 2), ('Universe Note', 1), ('Thunder line', 2)]",16450,126.255,-37.8173621,144.9658409,10,14931.255,Spring,True,0.3539,"just because the ad states the device is unlocked doesn't mean it's true phone was presented well,but was unable to use device as it was a verizion phone and not unlocked for all carries as advertised.",False
ORD145658,ID4283908144,2019-01-15,Nickolson,"[('Universe Note', 1), ('Alcon 10', 2), ('Lucent 330S', 2)]",23810,60.96,-37.8096126,144.9756618,0,23870.96,Summer,False,1.1352,"more like a deception it's a chinese version, mostly unsupported. don't make the same mistake.",False
ORD372890,ID2189145401,2019-01-06,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 1)]",9070,59.22,-37.814691,144.9576895,25,6861.72,Summer,False,0.9606,"one star wouldn't charge, comparability issues.",False
ORD228420,ID0207085508,2019-01-24,Bakers,"[('iAssist Line', 1), ('Universe Note', 1), ('Alcon 10', 2), ('Olivia x460', 1)]",24800,79.74,-37.8107635,145.0122618,25,18679.74,Summer,False,1.5001,battery life the phone is in good shape just the battery does not have a long battery life,True
ORD087346,ID0571731473,2019-09-19,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 1)]",2890,64.61,-37.8243246,144.9439659,0,2954.61,Spring,False,1.3254,"this phone may be unlocked, but it is not compatible with cricket. this phone may be unlocked, but it is not compatible with cricket.",False
ORD328988,ID0595867557,2019-01-23,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 1)]",6770,94.05,-37.8112894,144.9754454,25,5171.55,Summer,True,0.9644,"international version blue phone phone is lightweight and includes a clear protective case. there's the turbo charger, sim pin and no screen protector. also, it has 2 nano sim slots and sd card capacity on the left side of the phone.",True
ORD085019,ID0332544811,2019-05-02,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Toshika 750', 1)]",7775,68.98,-37.79630529999999,144.9400168,15,6677.73,Autumn,False,1.9247,"extremely good! this phone is worth every penny, just buy it! perfect camera, perfect body to screen ratio, great performace. i even had to turn off the face recognition due every time i wanted to change a song i ended up unlocking the phone haha.",True
ORD225366,ID2318307720,2019-12-05,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 2), ('Candle Inferno', 2), ('pearTV', 2)]",33830,75.11,-37.8108065,144.9756299,5,32213.61,Summer,False,1.0186,brand new brand new . i love this,True
ORD353908,ID0588191342,2019-06-29,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 2), ('pearTV', 1)]",9630,75.34,-37.8142203,144.9729826,15,8260.84,Winter,True,0.5729,serves the purpose good buy. i'm satisfied.,True
ORD234061,ID0571731119,2019-12-28,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 1), ('iStream', 1), ('iAssist Line', 1)]",11755,78.24,-37.8243866,144.9437285,10,10657.74,Summer,False,1.3366,good lo recomiendo,True
ORD259767,ID4735836868,2019-01-29,Thompson,"[('Thunder line', 2), ('pearTV', 1), ('Universe Note', 1)]",14120,74.3,-37.8032857,144.9502708,0,14194.3,Summer,False,1.0823,great smartphone i'm the type of individual that is computer & smartphone. i upgraded my cell phone with this. if i can work this - anyone can! well worth the money!,True
ORD374545,ID0596044684,2019-02-06,Bakers,"[('Alcon 10', 2), ('iStream', 1)]",18050,127.455,-37.79979229999999,144.9762253,10,16372.455,Summer,False,2.0211,buy this without worries very good to nearly excellent condition,True
ORD147323,ID2181275331,2019-03-30,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 1), ('Olivia x460', 2)]",12630,65.77,-37.8093604,144.9643574,5,12064.27,Autumn,False,1.1249,"this was a gift and they love it! its compact, they can surf the web, play games check emails etc",True
